id,type,text1,text2,text3,text4,text5,notes
brdy_plasma,WEAPON,"Shoots a single bolt of exotic energy that deals enormous damage.

The Scalaron Blaster is outwardly similar to the Heavy Blaster: it fires an energy bolt that travels inside a magnetic containment field. The difference is that this weapon uses a compact dimensional vortex to alter its payload before firing. Plasma is screened through pocket dimensions, interacting differently with spacetime once it reenters the universe - it takes longer to dissipate, travels further and causes more destruction than purely baryonic plasma, due to a wide range of poorly understood effects.

Hulls blown apart by a Scalaron Blaster are pulverized down to the subatomic level: a fog of razor-sharp nanoparticles tends to form and then cling to surfaces, lethal to unprotected crew and equipment alike. This side effect is sometimes exploited to combat reverse engineering.

Useful for destroying hardened targets, the S-Blaster can be found on fast strike ships, even though the feedback generated by the weapon is hard to handle for most reactors.",Strike,,,,
brdy_fury,WEAPON,"A plasma torpedo with an extremely powerful engine, that can be launched with impunity to overload weak shields or breach armor. Builds flux when launched.

The T-1 Fury is Blackrock's most widely-exported missile weapon. Simple in construction, the torpedo's powerplant is also its payload. The initial burn takes the reactor into redline, which then generates a massive ball of plasma from the shock of impacting a shield or hull. It's especially good against medium-armored ships with weak shields, but its yield is drastically lower than antimatter or nuclear-based torpedoes.",Torpedo,,,,
brvulcan,WEAPON,"A small-caliber dual rotary cannon that fires in short bursts and then reloads. Highly effective against missiles, fighters, and unarmored targets.

Regarded as the most important weapon among Blackrock's exports, the Mark II ''Shredder'' Dual Rotary Cannon is cheap, easy to mount on practically any ship, and grants a lot of utility. This is aided by Blackrock usually exporting and selling them in batches, as Corporation doctrine recommends setting up batteries of several Shredders acting together to provide sufficient protection against missiles at high traverse. Experienced captains prefer the Shredder mostly for its ability to chew through weakened ships, as the longer barrel and greater ammo caliber compared to the Vulcan enables the Shredder to successfully fire into enemy warships at medium range, where its shaped fragmentation rounds make quick work of exposed hull sections.",Point Defense,,,,
brdy_volley,WEAPON,"Fires a scattering blast of high-velocity flechettes, great against shields. Tends to easily cause overloads, but they are short due to low per-shot damage. Corporation doctrine puts emphasis on combining Volley Guns with anti-armor weapons for greater kill power.

The standard-issue Hyperkinetic Volley Gun loads canisters of metallic nanocolloid that are programmed to morph when subjected to thermic shock: when fired by a chemical propellant, this colloid turns into a chaos of monomolecular needles that fan out into a buckshot pattern, saturating a shield barrier with pin-prick impacts.

The drawback of this weapon is its ineffectiveness versus armor. If not combined with other weapons, the Volley Gun is relatively incapable of actually damaging ships on its own, but its raw power can threaten exposed hulls.",Anti Shield,,,,
brdy_solenoidlarge,WEAPON,"Fires a dense jet of ferrofluid that inflicts great damage and is hard to avoid even at max range thanks to its incredible speed and accuracy. Will usually punch clean through weakened armor, and direct hits will disrupt enemy systems thanks to the jet's electric charge.

The strength of the Ferrocannon lies with the low mass of its payload. While other accelerator weapons fire a massive slug, the Ferrocannon fires a focused burst of magnetic liquid with embedded nanoparticulate 'shrapnel'. This payload moves much faster than any conventional slug, and delivers a similar amount of kinetic energy. Its massive canisters of pressurized ammo and its power requirements makes the Ferrocannon hard to mount on most ships. The Karkinos can famously mount a battery of three Ferrocannons on its own, projecting a massive kill zone against enemy frigates and destroyers.
",Anti Shield,,,,
brdy_squallbattery,WEAPON,"Shoots Gale rounds in a one-two-three pattern. A barrage from this weapon will devastate even the thickest armor, and puts strain on weak shield emitters.

Desiring a heavy-duty anti-capital weapon for their new line of capital and subcapital warships, Blackrock decided on a simple solution: Take an already mass-produced medium strike gun, and figure out a way to mount three of them together with one ammo drum, one targeting array and one turret house. While the Gale Battery needs to fire in sequence to handle the considerable recoil of its chemical propellant, each round alone packs enough firepower to cripple a frigate. The Gale Battery is a serious threat to slower, hardened targets, and maintains the economical ordnance profile of its smaller cousin. Its biggest drawback is the relatively low fire rate that comes as an unavoidable tradeoff from the caliber of the Gale round.",Assault,,,,
brdy_hammerclaw,WEAPON,"Developed from the Mark IV Self-Propelled Asteroid Impactor, this enormous missile is a useful shock weapon. While entirely unguided, a direct hit will usually lead to a long and punishing overload, and the kinetic energy delivered will push ships away from the impact.",Strike,,,,
brdy_dualac,WEAPON,"A twin-linked version of the Shard Cannon, decently useful against all targets. Sacrifices some efficiency for more power vs. armor plating than standard kinetic cannons.

The Shard Cannon draws its name from its special ammunition, the Phase Shard. Made in a reactor that constantly displaces a growing crystal between phase-space and normal-space, they carry an interdimensional vibration within their molecular bonds. The Shard Cannon induces an oscillation right before a round leaves the barrel, making it volatile. If an activated Shard shatters and lodges itself inside a foreign material, the disrupted standing wave can cause twisted particles to return to the universe as antimatter and subsequently annihilate. A major drawback is that no Shard will shatter in the same way, so just a small portion of hits generate a reaction.",General,,,,
brdy_2xfury,WEAPON,"A rack of plasma torpedoes with extremely powerful engines, that can be launched with impunity to overload weak shields or breach armor. Builds flux when launched.

The T-1 Fury is Blackrock's most widely-exported missile weapon. Simple in construction, the torpedo's powerplant is also its payload. The initial burn takes the reactor into redline, which then generates a massive ball of plasma from the shock of impacting a shield or hull. It's especially good against medium-armored ships with weak shields, but its yield is drastically lower than antimatter-based torpedoes.",Torpedo,,,,
br_pde,WEAPON,"A well-rounded plasma discharge system that can burn its way through thick armor. Creates a window of opportunity to apply concentrated firepower to enemy shields.

",Anti Armor,,,,
br_fpde,WEAPON,"The most compact plasma discharge weapon in Blackrock's arsenal, the Sunjet can rapidly melt through armor if given the chance. Needs help from other weapons to threaten shielded targets.",Anti Armor,,,,
br_iwbattery,WEAPON,"Two Shredders on a high-performance mount with improved ammo feeders and cooling, for a total of four barrels: a potent close-in weapon system. Obliterates unarmored targets.

The Mark I Quad Shredder Close-In Weapon System is another popular Blackrock export, valued for its ability to blanket an area of space with lethal frag rounds. Each gun has several small improvements compared to the Mark II Dual Shredder Rotary Cannon, which add up to an absolutely lethal amount of raw damage that no weakened target can stand up to for long. Since it has decent capability as an anti-fighter, anti-missile and anti-ship weapon, the Shredder Battery really is a worthwhile investment on any ship that can afford to mount it, which any Blackrock associate will enthusiastically tell you, should you approach them with arms-related inquiries.",Point Defense,,,,
brdy_linear,WEAPON,"An energy weapon that deals great damage at the cost of range and accuracy. Lethal at point-blank ranges and very flux-efficient.

The Linear Cycle Pulse Gun, or LPG for short, uses an oscillating magnetic field to spit out self-contained energy packets at a steady rate. The pulsing guidance field ensures very little energy is required to maintain a rapid rate of fire, but it also makes the weapon inaccurate. Compared to pulsed laser weapons, the LPG certainly punches far above its weight class, but its very low range makes it best suited for small, fast ships, or as a knife fighting weapon on a larger vessel.",General,,,,
brdy_galecannon,WEAPON,"An upgrade of the Gale Cannon with a built-in targeting unit and second-stage magnetic acceleration mechanism. Trades fire rate for power, range and muzzle velocity, making it excellent for opportunistic attacks against distracted ships or for barrage fire with heavy kinetic weapons.
",Anti Armor,,,,
brdy_argussmall,WEAPON,"Fires a short-ranged, pinpoint ray that atomizes incoming missiles and damages fighters, but does little against enemy ships.

The Argus Particle Beam is a deceptively powerful weapon. While not useful against the radiation-hardened armor of most warships, the ray fired by the Argus is devastating to unprotected targets like fighters or missiles. A single Argus can protect a ship against stray missiles and heatseekers, while several acting together can form a nearly impenetrable defense.",Point Defense,,,,
br_minishard,WEAPON,"A short-range weapon useful against all targets, thanks to special ammunition that increases efficiency against armor compared to inert kinetic slugs.

This variant of the Shard Cannon is designed to unleash a constant stream of smaller shards rather than relying on burst damage. Three revolving internal ammo drums rotate in a triangular pattern, allowing individual drums to be rapidly cooled during the inactive part of the firing cycle. Its mass-produced Type III ammo is fairly simple and does not pack as much of a punch as the Type II used by the Shard Cannon.",General,,,,
,,,,,,,
brdy_iwcannon,WEAPON,"Fires a volley of volatile shrapnel that obliterates any lightly-armored obstacle in its way. When fired into a hull breach, tends to make short work of even large ships. Autofire AI priority is fighters, then missiles, then enemy ships.

The Ironweaver Area Denial Cannon fires 'honeycombs' of ammunition feedmass designed to deform into a chaos of hot, rigid splinters when subjected to the weapon's complicated firing cycle. Each of these ammo combs is the size of a grown man, and requires a deep ammunition elevator to be built into the turret module of the mounting ship. An array of these weapons can turn space into a lethal hailstorm of shrapnel. Effective against light targets due to its saturation effect, the Ironweaver is also surprisingly useful against large shield barriers that tend to absorb entire volleys at once.",Area Denial,,,,
brdy_miniargus,WEAPON,"A miniaturized particle beam, with an optimized capacitor system that lets it fire without flux buildup. A decent option against stray missiles.",Point Defense,,,,
voidspear_srm,WEAPON,"An unpredictable plasma missile, good in swarms and against frigates. Firing each missile builds flux.",Pressure,,,,
br_damocles,WEAPON,"Opens a dimensional rift that unleashes bolts of unstable energy. Devastating at close range, but unreliable at medium range. Rapidly regains charges after firing. Tapping shots is recommended at longer ranges.",Assault,,,,
brdy_scannon,WEAPON,"Fires a lethal stream of exotic energy bolts. Needs to charge up briefly before firing, and inaccurate during long bursts, but has a staggering potential for raw damage output.

An offshoot of the Imaginos Rift Cannon technology, this advanced weapon uses the bare minimum of interdimensional connectivity to charge its plasma bolts, and is much weaker than the Rift Cannon, but far more reliable. Designed as a hybrid assault/suppression weapon, the Repeater works best when mounted on a ship that can avoid attracting enemy fire, powering a sustained barrage to lock a target into a defensive position. Alternatively, it can be mounted on ships with powerful reactors to directly convert their energy output into overwhelming firepower for a strong head-on assault.",General,,,,
brdy_miniargusb,WEAPON,"A defensive weapon only present on Dimensional Engine ships. Reliable against missiles and fighters, but can also be used against enemy ships at close range.

",Point Defense,,,,
voidspearpod,WEAPON,"A pod of unpredictable plasma missiles, excellent for providing cover during an advance or destroying enemy frigates. Firing each missile builds flux.",Pressure,,,,
brdy_afmissile,WEAPON,"Launches a barrage of light missiles that are impossible to evade, effective against light targets, fighters and exposed hull. Comes with an autoloader.

An ever-popular Blackrock export, the Dart SRM fires an incredibly simple missile optimized for high-acceleration thrust vectoring and interception. Easily manufactured from fabrication feedmass, the optimized Dart missile features a very delicately balanced ratio of reaction mass to payload mass, enabling unmatched pursuit performance, while the launcher rapidly primes and launches large swarms designed to overwhelm even the most diehard fighter ace.

The unsophisticated directed frag warhead is easily defeated by any meaningful level of armor protection, but the Dart enjoys a reputation for wreaking havoc on damaged ships, which is why it tends to be used far more heavily than what its intended role would suggest.",Anti Fighter,,,,
brdy_afmissilebig,WEAPON,"Launches a withering barrage of light missiles that are impossible to evade, effective against light targets, fighters and exposed hull. Comes with an autoloader, expanded volley size and expanded ammunition compared to the Light Dart.

An ever-popular Blackrock export, the Dart SRM fires an incredibly simple missile optimized for high-acceleration thrust vectoring and interception. Easily manufactured from fabrication feedmass, the optimized Dart missile features a very delicately balanced ratio of reaction mass to warhead mass, enabling unmatched pursuit performance, while the launcher rapidly primes and launches large swarms designed to overwhelm even the most diehard fighter ace.

The unsophisticated directed frag warhead is easily defeated by any meaningful level of armor protection, but the Dart enjoys a reputation for wreaking havoc on damaged ships, which is why it tends to be used far more heavily than what its intended role would suggest.",Anti Fighter,,,,
brdy_dronegale,WEAPON,"This modified Gale Cannon is spinally mounted on the Stinger Drone, and can deliver respectable mid-range fire support.",Close Support,,,,
br_xlpde,WEAPON,"This massive plasma projector can melt an exposed ship into unrecognizable slag. Forces enemies to rely on shields for defense, or face terrible consequences.

Sometimes referred to as the 'portable solar flare', the Sunstorm Plasma Discharge Emitter has some of the most advanced capacitor arrays and power conduits of any modular weapon in the Sector. Extremely precise control over magnetic fields and power surges are required for this weapon to not waste energy and misfire.

While shields are great at dissipating thermal energy, most types of armor cannot perform their intended function once reduced to a boiling, chaotic mass. This makes the Sunstorm a reliable anti-warship weapon for capitals.",Anti Armor,,,,
brdy_nevermore,SHIP,"A swift, powerful ship built around a core of potent technology, the Nevermore is known for its surprising speed and enormous destructive potential.

Originally designed to project capital-crushing firepower from a mobile subcapital platform, necessity forced the primary specification through several sidegrades before it could serve as a line cruiser. Since it can generate reaction mass for its main gun rather than storing it in bulky holds, the ship is fast for its size, and freedom of movement is its chief asset.

Most of the hull is occupied by critical systems, resulting in a cramped and utilitarian bridge and crew quarters. Sometimes, men will even bunk in the cargo holds to get a break from the crew compartments, which tend to heat up during hyperspace cruise. Still, low-ranking BRDY associates will practically climb over one another for a chance to serve aboard a Nevermore, knowing it's a start on the road to working with the Corporation's most exotic technology or serving in its most elite force projection fleets.

Controversial as a resource-hungry vessel of focused destruction, proponents of the Nevermore cite its importance as a deterrent, while critics view it as a symbol of the Corporation's arrogance and its intent to meddle with the Sector's power balance.",,,,,
brdy_desdinova,SHIP,"A relic from the Exodus, this destroyer is as fast as it is large and powerful. A logistical nightmare, vulnerable to strike weapons and EMP, the Desdinova has survived more than six attempts at retirement and replacement, due to its undeniable usefulness as a shock weapon and heavy interceptor.

Ostensibly created and then maintained by Blackrock to ""deal with internal threats"", the Desdinova is one of the most gratuitous warships ever designed. It's a well-known piece of Corporate trivia that this destroyer packs enough thrust to de-orbit large space platforms on its own; a feat which has actually been performed in the past. While decades of modernization have made up for some of the hull's flaws, the original Desdinova was not designed to survive more than 4-5 sorties before being broken down for its core components, and its drive systems are highly temperamental.

Featuring a heavy armament, and protected by a shell of interlocking armor plates, the Desdinova is built to flank the enemy while ignoring fast threats. An array of Arcjet engines propel the ship's bulk during its bone-rattling combat maneuvers. Primarily known for catching and annihilating frigates and destroyers, it's also capable of avoiding most ships it cannot duel. While it consumes more hyperspace fuel than any other destroyer - not to mention the maintenance required to keep it running - the Desdinova can usually tear apart enough targets to make up for its flaws.",,,,,
brdy_scarab,SHIP,"A useful ship in a small fleet, the Weevil is one of the most popular Blackrock exports. Its large size allows it to incorporate a drone bay and a decent fuel and cargo capacity, but its specs leave something to be desired when compared to a true combat frigate.",,,,,
brdy_gonodactylus,SHIP,"This class started its life as a pre-Collapse asteroid smasher, and a hundred years of design iteration eventually resulted in a decent military vessel. Rugged, flexible, and hard to destroy, it's an economical choice for direct combat. Every Gonodactylus carries a repurposed Mark IV Asteroid Impactor, which can be used as a one-shot surprise attack in battle.

""I lost mine, got ambushed by a phase group in the Rama system. I drifted back into a patrol clamped to half a turret module. Heatsinks handling my suit's load through contact... in an induced coma, should've died in the blowout, but here I am. Then, this gunner I met told me about how he got himself wrecked out in a belt somewhere. He'd opened the main console, poked around for a day and found old survey programs that worked with the main sensors. Found himself a hollow asteroid, some hideout - it kept him alive until they saw the beacon. You get my point? These things are one-of-a-kind. They want to keep us in them because they work, and they last, and you try to find me a shield that won't throw sparks trying to stop that ridiculous Mark Four...""",,,,,
brdy_krait,SHIP,"A monstrous multirole fighter that rapidly chews through hull and armor if given the chance. Its size makes it vulnerable to some anti-ship weapons, but its thick armor is an asset against many anti-fighter weapons.

While it can be a big target compared to other fighters, the Krait is almost untouchable when facing enemy interceptors and light frigates. Any unshielded target has to fear a strafing run from the Krait's twin INMs and rotary cannon, but because it lacks a shield, it can get caught in crossfire. Commanders are advised to deploy them to the right zones of battle, so that their strengths can outweigh their weaknesses.

",,,,,
brdy_locust,SHIP,"A nasty little skirmisher with few glaring weaknesses, save for a lack of missile weapons. With lots of wide-traversal hybrid turrets and a trump card system that often gets its crew out of trouble, the Goblin is the iconic Blackrock picket ship, and excels at competently destroying light targets such as fighters, frigates, and undergunned brigands.",,,,,
brdy_mantis,SHIP,"The Mantis can unleash a storm of missiles or torpedoes, and has unrivalled mobility. These traits make it perfect for wolfpacks comprised of various attack frigates, or for lurking around the edges of a battle, ready to launch its payload.

Designed around a formidable drive system, the Mantis is designed to attack much larger ships than itself by virtue of outmaneuvering its escorts or being able to charge in if an opening presents itself. However, thanks to its high specs, it's able to comfortably duel most other frigates, although this is often considered a wasteful use of its firepower.

Cramped and uncomfortable, the ship's innards resemble those of a much more primitive vessel, as most of the space inside the hull is taken up by conduits, ammo wells, thruster sinks and capacitors. Those crews who actually take a liking to the Mantis tend to be hotheads who revel in their spartan condition.",,,,,
brdy_vespa,SHIP,"Carries a high-yield, unguided plasma torpedo. The Vespa's raw firepower can bring down the biggest targets, but its payload is unreliable against faster, smaller ships.

The Vespa is designed around speed and firepower, like most Blackrock ships. Provided the bombers don't get shot down, their engine power allows them to rearm quickly.

A small turreted particle beam helps the Vespa intercept enemy artillery fire en-route, and can help it survive against weak interceptors or enemy SRMs. The bomber is still defenseless against enemy frigates or fighters, so choosing the right attack vector is important. Large fleets of Vespas can be hard to assault for enemy fighters, as the precision of the particle beams adds up to form a lethal defensive network.",,,,,
brdy_kurmaraja,SHIP,"Designed to counter modern battlespace tactics, the Kurmaraja dominates in a fight defined by fast threats and fighter projection. Fast, carrier-capable and heavily armed, its tactical freedom is nearly unmatched among capital ships.

Blackrock's main capital ship for many cycles, this is a subtle ship compared to the brutal Karkinos. The physics-defying plating that covers the Kurmaraja is the key to its strength. Interdimensional forcefields clamp down on the drive anchors of enemy ships, while pinpoint scalar field excitations distort space around projectiles, stopping them from reaching their targets. Caught dead in the water, smaller ships are easily destroyed, and larger ships may find their firepower ineffective.

Crewmembers tend to complain about its tangled grid layout and mazelike interior: the Kurmaraja sacrifices comfort and convenience for its ability to field fighters and power its various systems at the same time. When prepped for combat, much of the ship is sealed off in order to protect the crew from emissions, which empties out most of the two side decks and leads to the infamous ''Kurma Crunch'' in the core, battlestations and bridge.",,,,,
brdy_serket,SHIP,"Armed with Quill launchers that are effective against both shields and light armor, the Serket is capable of applying good pressure from medium distances, aided by its powerful engines and durable frame.
",,,,,
brdy_cetonia,SHIP,"The Cetonia-class Freighter is a tough nut to crack, and can even serve as a reliable, but uncomfortable personnel transport. Comes with some built-in defensive weapons and a front shield for use against ""navigational hazards"".

Ultimately, the Cetonia represents a good compromise between efficiency, tonnage and emergency performance, and has proven its worth to many traders and corporate agents. Some hulls have famously been upgraded and militarized to the point where they can contend with attack frigates, but Corporate doctrine frowns on this practice, recommending spacers use tried-and-tested measures such as investing in other Corporate defense products, like the Goblin-class Gunship or Robberfly-class Corvette...",,,,,
brdy_stenos,SHIP,"Built long ago as a self-sufficient exploration and research vessel, the once-obscure Stenos has recently been produced in greater numbers by the Blackrock Corporation as a mobile base for tech-mining and other long-distance operations. In direct combat, the Stenos can be quite effective when backed up by escorts, especially when fighting off weaker pirates and other opportunists, thanks to its wide weapon coverage and powerful shield emitter.

The class is named after Hannibal Stenos, the scientist and pioneer who laid the foundations for the corporation's transformation into a Sector power.",,,,,
brdy_typheus,SHIP,"The Typheus-class Light Carrier is fast and reasonably self-sufficient, allowing it to adjust its position relative to the fleet to best bring its fighter complement and support weapons to bear.",,,,,
brdy_robberfly,SHIP,"One of the few corvette-sized ships that still find widespread usage, often seen in the role of a scoutship, harasser or courier. Lacks a shield generator, but its sheer speed makes it a slippery target.

A piece of Blackrock tech that has made its way into the Sector at large, the Robberfly is about as small and light as a combat-rated ship can realistically be. Its greatest strength is exceptional agility, granted by a full-body impulse engine with remarkable output for its size. Because much of the hull is occupied by sensory equipment, weapon mounts, and engine nozzles, overall hull strength is left wanting, and there is no room for a shield emitter. Still, the Robberfly has a reputation for security in civilian settings due to its low sensor footprint and its ability to simply evade interception. When pressed to fight, however, a Robberfly captain must use the ship's speed for all it's worth.

Robberflies can be assembled in a matter of hours from modular components given proper facilities, so they can be found practically anywhere spacers get into trouble, largely due to Blackrock's major reform of their Interstellar Exports Policy back in '178.",,,,,
brdy_karkinos,SHIP,"A fully-fledged battleship designed for a post-Domain reality, the Karkinos is Blackrock's final stake in the struggle for Sector dominance. Its firepower and ability to relocate gives it unmatched first-strike capability.

The Karkinos allows one to directly observe the raw power required to bridge distances in realspace. Like some of the Domain's last designs, this battleship can perform tactical teleports - but instead of neatly shifting through spacetime, the Karkinos forces itself through a temporary rift in reality, a chaotic process that makes it impossible for an outside observer to predict the ship's destination. While inefficient compared to a phase teleporter, the unwieldy waste energy created by the Scalar Deracinator is a weapon unto itself.

Due to emissions from the ship's core, it's visible even where other ships would be mistaken for a piece of debris - so the Karkinos is only seen in large, well-defended fleets that don't need to hide from enemy sensors. 

The corona that surrounds the Dimensional Engine is bleedthrough from extradimensional space: it forms a permanent link, analogous to a massive drive anchor. The construction of a Karkinos begins in earnest when this link has been created; the rest of the ship then has to be built around it. According to official reports, not all projects lead to spaceworthy hulls. Many get scrapped after core construction is complete because they do not meet safety specifications - but in a single, widely-reported worst case, construction ended in a disaster involving the destruction and disappearance of an entire dry dock.",,,,,
brdy_convergence,SHIP,"The Convergence is an ungainly but spacious vessel that exerts a deceptive amount of control over the battlespace through its fighter bays and missile weapons. Its cargo capacity, fuel reserves, and ease of maintenance have kept the Convergence in active service; across many campaigns, it has a habit of paying for itself.",,,,,
brdy_asura,SHIP,"A fearsome vessel, the Asura has access to completely overwhelming firepower, but can quickly reach its limits in the hands of a careless captain. Due to its curious development history, the ship is considered a rare sight in the Sector today.

To even the odds in an increasingly likely all-out war between Blackrock and an entrenched Sector power, the Development Board once had several teams competing against each other to create a mobile anti-capital cruiser with siege capabilities. Unfortunately, the Asura Project came just short of reaching important milestones, and priorities shifted shortly before the Sovereignty Conflict began in earnest.

Losing out to the Adv. Cruiser Upgrade Program, the Asura Project should have been cancelled - however, the upcoming war meant the Corporation desperately needed a heavy-hitting cruiser that would not tax the primary production lines. The team was tasked with finding a way to make their half-finished design into a viable warship.

The Asura blueprint underwent an endless string of last-minute alterations. The Dimensional Engine originally intended for the main gun had to be replaced with a capital-grade standard power core. A system was installed in order to keep its output in check unless the mission demanded maximum performance. The skeletal Asura was then rigged out with engines, turret wells and armor components from older, tried-and-tested designs, resulting in an expensive, but surprisingly well-integrated and effective warship.",,,,,
brdyx_imaginos,SHIP,"Embodying the current peak of Blackrock technology, the Imaginos is capable of reversing and nullifying enemy firepower, constantly shifting around the battlespace, and regenerating its own armor. This comes at the cost of being unable to power a shield generator.

The Imaginos' effectiveness as a combat ship has been heavily debated. Corporate doctrine demands deploying the ship into combat in order to gain valuable data and to fuel further development - at least, that was the initial rationale behind risking such valuable assets. Nowadays, the Imaginos is pressed into service in order to narrowly tip the scales in large battles and guarantee the Corporation's survival, where elite pilots can wield its abilities to nullify massive carrier strikes, interdict key targets, and upend enemy strategies.",,,,,
brdy_dipteron,SHIP,"This cheap but effective unmanned interceptor becomes deadlier in swarms, but its weapons do little against larger targets. Extreme agility lets them excel at dogfighting and missile interception, and their Shredders are great against damaged ships.

Little more than a pair of enormous engines and a Shredder with a tiny support module sandwiched in between, the Dipteron can be pushed harder than any other interceptor, especially thanks to its complete automation, allowing acceleration and changes of direction that would pulp any human pilot.",,,,,
brdy_eschaton,SHIP,"These enormous, fortified ships form the backbone of the Blackrock Drive Yards industrial machine. Within its armored shell, the Eschaton can protect a great haul of cargo, fuel and personnel, and various military-grade systems enable it to join an engagement alongside its escorts. Nonetheless, it is not as economically efficient as competing logistics ships in any given role, as the design prioritizes security and flexibility.

Many of Blackrock Drive Yards' original hulls are answers to industrial sabotage from competitors, rebels, and political enemies. One example of this is the Eschaton, which had to be devised as a result of the Tri-Tachyon Corporation's efforts to deny access to Atlas blueprints. Few had foreseen that Blackrock would be able to muster the industrial strength to prototype many of their ambitious projects, much less mass-produce and refine them over time.",,,,,
,,,,,,,
